no,title,assignees,milestone,labels,state,user,created_at,closed_at,closed_by,updated_at,due_on,actual_man_hour,estimated_man_hour,project,project_status
1,PRのテンプレートやおおまかなディレクトリを作成,,,,closed,ma3-ndbox,2020-03-11 18:12:35,2020-03-11 18:13:27,ma3-ndbox,2020-03-11 18:13:27,,,,,
2,このリポジトリの更新状況をSlackへ通知させる,rothr4,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-11 18:15:02,2020-03-12 16:01:35,rothr4,2020-03-17 19:26:46,2020-04-05 07:00:00,0.25,,tasks,完了
3,要件定義のテンプレート作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 18:15:45,2020-03-14 16:15:43,ma3-ndbox,2020-03-17 19:09:43,2020-04-05 07:00:00,0.5,,tasks,完了
4,要件定義テンプレートのレビュー会(ゲスト),rothr4;hizakozo;ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 18:17:29,2020-03-16 11:43:23,ma3-ndbox,2020-03-17 19:07:24,2020-04-05 07:00:00,1.0,,tasks,完了
5,要件定義テンプレートのレビュー会(内部メンバー),rothr4;hizakozo;ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 18:17:36,2020-03-14 13:54:03,rothr4,2020-03-17 19:09:53,2020-04-05 07:00:00,1.0,,tasks,完了
6,localstackのdocker-compose化,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 18:18:50,2020-03-17 19:30:24,ma3-ndbox,2020-03-17 19:30:40,2020-04-05 07:00:00,1.0,,tasks,完了
7,localstack上でクラウドフロントを動かしたい件を調査,rothr4,フェーズ0(開発準備)-1,実工数: 3h,closed,ma3-ndbox,2020-03-11 18:21:36,2020-03-13 17:05:47,rothr4,2020-03-17 19:27:24,2020-04-05 07:00:00,3.0,,tasks,完了
8,必要であろうデータの洗い出しとデータ設計,hizakozo,フェーズ0(開発準備)-2,見積工数: 4h,open,ma3-ndbox,2020-03-11 18:23:27,,,2020-03-17 19:19:49,2020-04-26 07:00:00,,4.0,tasks,次のマイルストーン
9,DynamoDBとMySQLの違いを調査,hizakozo,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-11 18:27:16,,,2020-03-17 19:14:53,2020-04-05 07:00:00,,3.0,tasks,直近のマイルストーン
10,apiコードのベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 18:35:38,2020-03-14 18:43:34,ma3-ndbox,2020-03-17 19:09:32,2020-04-05 07:00:00,0.5,,tasks,完了
11,frontコードのベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 18:35:43,2020-03-14 20:42:23,ma3-ndbox,2020-03-17 19:09:24,2020-04-05 07:00:00,0.5,,tasks,完了
12,DBマイグレーションの仕組みを調査,hizakozo,フェーズ0(開発準備)-2,実工数: 3h,open,ma3-ndbox,2020-03-11 18:47:40,,,2020-03-17 19:24:14,2020-04-26 07:00:00,3.0,,tasks,次のマイルストーン
13,超シンプルなクラウドフロントのYaml作成,rothr4,フェーズ0(開発準備)-1,実工数: 3h,closed,ma3-ndbox,2020-03-11 18:57:29,2020-03-13 17:09:40,rothr4,2020-03-17 19:27:39,2020-04-05 07:00:00,3.0,,tasks,完了
14,あれ、github actionsって組織アカウントでも無料で使えるんだっけ?を調査,rothr4,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-11 19:04:00,2020-03-12 16:17:01,rothr4,2020-03-17 19:26:53,2020-04-05 07:00:00,0.25,,tasks,完了
15,localstack上での構成管理ロジックをgithub actionsに仕込む,rothr4,,見積工数: 3h,open,ma3-ndbox,2020-03-11 19:04:08,,,2020-03-17 20:05:59,,,3.0,tasks,タスクプール
16,マイグレーションをgithub actionsに仕込む,hizakozo,,,open,ma3-ndbox,2020-03-11 19:04:34,,,2020-03-11 19:04:46,,,,tasks,タスクプール
